Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000,-0.4219792843252745,1.8842611167493273,-0.743141038460215,Droidz,0.0
BSC,X11,PoW,15863837.5,21000000,-0.23309862816979815,-0.9306308575024353,0.06975430306393815,BowsCoin,3.0
DRKT,SHA-256,PoW/PoS,,1500000,,,,,
CIRC,vDPOS,PoS,0.0,0,,,,,
EPY,Scrypt,PoW,,100000,,,,,
SQL,X11,PoS/PoW,329200.01639,0,-0.3205854861674988,0.3992735472443588,-0.2658455245897855,Squall Coin,0.0
CHA,Scrypt,PoW,,500000,,,,,
MIL,X11,PoW/PoS,0.0,0,,,,,
QTZ,SHA-256,PoW/PoS,,0,,,,,
SPC,NIST5,PoW/PoS,,0,,,,,
DUB,X15,PoW/PoS,,0,,,,,
GRAV,SHA-256,PoW/PoS,,0,,,,,
HEDGE,X13,PoW,,33000000,,,,,
SONG,Scrypt,PoW,32565300.0,210240000,-0.16666234259392185,-1.120684949644561,-0.035225698299527056,Song Coin,3.0
XSEED,SHA-256,PoW/PoS,,0,,,,,
CHIP,X11,PoW,,0,,,,,
SPEC,Scrypt,PoW,,3000000000,,,,,
SPRTS,SHA-256,PoW/PoS,,0,,,,,
ZNY,Scrypt,PoW,75614500.0,250000000,-0.16585391113447712,-1.1206924244154186,-0.03524380836255827,BitZeny,3.0
DIGS,Scrypt,PoS,100000000.0,100000000,-0.2843068562465387,0.8166732141066995,-0.22992326832552396,Diggits,0.0
